S0,S1,S2,S3,S4,S5,S6,S7,,,,,,
368,56,29.9938,28.4194,27.5785,29.9444,28.417,27.5764,,,,,,
369,72,39.5097,37.2489,36.0381,39.3903,37.2403,36.0279,,,,,,
370,90,50.4924,47.4303,45.7542,50.2541,47.4018,45.7231,,,,,,
371,110,62.9846,59.0138,56.7662,62.5383,58.9392,56.6835,,,,,,
372,132,77.0245,72.0387,69.1161,76.2381,71.8747,68.9459,,,,,,
373,156,92.6436,86.508,82.8333,91.3591,86.2126,82.5241,,,,,,
374,182,109.862,102.464,97.9484,107.891,101.962,97.4165,,,,,,
375,210,128.692,119.935,114.51,125.836,119.137,113.618,,,,,,
376,240,149.144,138.954,132.543,145.192,137.736,131.148,,,,,,
377,272,171.223,159.532,152.053,165.955,157.759,150.014,,,,,,
378,306,194.93,181.688,173.081,188.123,179.204,170.218,,,,,,
379,342,220.257,205.443,195.666,211.693,202.067,191.768,,,,,,
380,380,247.21,230.805,219.811,236.663,226.346,214.669,,,,,,
381,420,275.788,257.781,245.547,263.033,252.037,238.921,,,,,,
382,462,305.986,286.369,272.89,290.801,279.137,264.524,,,,,,
383,506,337.805,316.576,301.858,319.967,307.645,291.493,,,,,,
384,552,371.242,348.41,332.462,350.53,337.558,319.835,,,,,,
385,600,406.296,381.869,364.704,382.49,368.873,349.556,,,,,,
386,650,442.962,416.954,398.6,415.847,401.59,380.663,,,,,,
387,702,481.241,453.668,434.143,450.6,435.709,413.162,,,,,,
388,756,521.118,492.009,471.334,486.749,471.227,447.057,,,,,,
389,812,562.615,531.976,510.189,524.295,508.145,482.353,,,,,,
390,870,605.716,573.568,550.7,563.237,546.462,519.055,,,,,,
